"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","59/1419","254/9399",0.232283464566929,1.53857102428793,3.66923442965281,0.000344387753606128,0.00462274330802071,0.00373667684074665,"2906/5021/7422/148/2903/8877/1909/5333/6263/776/84812/2149/553/5159/4842/4233/2904/2769/51196/3360/9965/185/153/4916/10105/3363/80310/2254/154/814/6588/2263/5023/6865/6547/4638/6261/5579/6546/5567/3706/6543/5336/493/113026/108/22953/5350/10800/3274/845/773/2668/844/26281/2066/57172/1129/810",59
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","20/1419","61/9399",0.327868852459016,2.17169791702769,3.87133820031532,0.000413255664009762,0.00508094050259973,0.0041070488755745,"4496/477/340024/4494/4499/4495/4501/140803/7018/115019/4493/1811/478/6547/4489/6546/6543/493/482/79901",20
"hsa00980","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","24/1419","79/9399",0.30379746835443,2.01225680413199,3.80981393992487,0.000417371393982626,0.00508094050259973,0.0041070488755745,"125/2946/2949/54575/54600/54579/54657/54577/54576/54578/54659/54658/124/27306/29785/127/3290/222/130/27294/1576/1555/126/2938",24
"hsa04970","Organismal Systems","Digestive system","hsa04970","Salivary secretion","27/1419","93/9399",0.290322580645161,1.92300347814226,3.77199197548473,0.000422487590852522,0.00508094050259973,0.0041070488755745,"1469/5593/148/477/6263/1470/111/3783/4842/6522/1472/153/1755/154/280/3778/478/54831/5579/362/5567/493/4069/108/482/1473/810",27
"hsa04081",NA,NA,"hsa04081","Hormone signaling","52/1419","219/9399",0.237442922374429,1.57274561479722,3.6163458857963,0.000436757063260721,0.00508094050259973,0.0041070488755745,"9370/90226/5021/5593/2796/148/6750/6755/2980/5179/183/7068/1734/2788/2981/7433/553/111/4842/2775/2769/5367/2690/2641/3952/5745/117247/2100/185/4985/153/6752/154/114131/4883/2099/5567/3972/4881/8660/108/2792/7252/3479/3061/5617/150/268/53919/1813/796/2786",52
"hsa05033","Human Diseases","Substance dependence","hsa05033","Nicotine addiction","15/1419","41/9399",0.365853658536585,2.42329706595163,3.85126528006323,0.000584338245517206,0.00657851766727435,0.00531757724273722,"2906/246213/2903/2563/2564/2893/2904/2565/2556/2566/2891/773/55879/2892/2555",15
"hsa05204","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","21/1419","70/9399",0.3,1.98710359408034,3.49543860994202,0.00112157015859336,0.0121998777432006,0.00986146051931156,"2946/2949/6799/54575/54600/54579/54657/54577/54576/54578/54659/54658/6817/5743/27306/1646/3290/1558/1576/10/2938",21
"hsa00053","Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","12/1419","31/9399",0.387096774193548,2.56400463752302,3.67792538847376,0.0011535701017926,0.0121998777432006,0.00986146051931156,"54575/54600/54579/54657/54577/54576/54578/54659/54658/7358/9365/219",12
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","24/1419","86/9399",0.27906976744186,1.84846845960962,3.33309428787698,0.00158170345809338,0.0162357207904291,0.0131237314789172,"3651/117/3782/477/776/111/3783/6513/2641/6804/6833/9699/3778/478/1388/5579/5567/3767/3779/108/27445/482/6616/6514",24
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","42/1419","178/9399",0.235955056179775,1.5628904672542,3.19707155372651,0.00169651206440875,0.0169166488708187,0.0136741423537307,"7472/4316/6422/147111/8607/7474/85409/8549/1951/4609/340419/7477/595/6425/25805/6424/8061/23500/83439/81029/5602/22943/9620/1952/51176/85407/1501/7475/5579/147495/5567/84133/4919/54894/11197/27123/27121/8326/166336/7471/8313/122011",42
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","49/1419","217/9399",0.225806451612903,1.49566937188843,3.11501956803881,0.00200115541306605,0.0194000899766681,0.0156815687339679,"253152/6258/7422/332/596/3838/1869/2946/4609/2949/990/9314/1978/776/54575/54600/54579/54657/54577/54576/54578/54659/111/595/54658/3326/993/5241/2100/2053/153/54852/2254/154/1388/3320/2099/5579/5567/407025/367/1576/27330/1555/108/773/2938/7471/26281",49
"hsa04518",NA,NA,"hsa04518","Integrin signaling","37/1419","154/9399",0.24025974025974,1.59140331127646,3.12031275864663,0.00222456806894717,0.0209830880016909,0.0169611448784592,"1277/1278/6696/7422/5228/1282/22801/7058/1311/5159/595/4233/1293/3695/8516/1101/3381/3696/3383/80310/1284/55612/1297/3687/55679/7057/1288/2335/3679/3479/1287/8174/2244/1758/3678/5649/1280",37
"hsa04517",NA,NA,"hsa04517","IgSF CAM signaling","63/1419","299/9399",0.210702341137124,1.39562459784907,2.93160636739324,0.00305470684892051,0.0280550707966647,0.0226776020917091,"5361/6712/6586/253559/57863/10381/22865/22871/4359/51332/8633/11141/5803/58494/6900/57502/287/10225/288/137970/5817/3556/4916/5802/30835/9423/5602/79861/4684/1272/5375/4629/3383/23136/10382/145581/84790/3687/342035/23114/4063/4638/4356/84189/56924/54413/5579/9863/10580/5336/6092/10398/80059/78999/3736/4133/84631/3742/3737/2244/3678/9353/57689",63
"hsa03030","Genetic Information Processing","Replication and repair","hsa03030","DNA replication","12/1419","36/9399",0.333333333333333,2.20789288231149,3.061819842457,0.00494867772035913,0.0442843211385984,0.0357961033483467,"5425/10535/4171/5111/5983/4172/4175/4176/4173/2237/1763/5427",12
"hsa04923","Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","17/1419","59/9399",0.288135593220339,1.90851757623535,2.95184380759443,0.00509631230076705,0.0444653248241925,0.0359424130685676,"5346/5593/4852/2167/364/111/63924/5743/153/154/5742/5567/4881/8660/108/7252/4886",17
"hsa04924","Organismal Systems","Endocrine system","hsa04924","Renin secretion","19/1419","69/9399",0.27536231884058,1.82391151147471,2.8964882204989,0.0054661972280311,0.0465293373800696,0.0376108050606505,"5593/183/117/1909/776/111/1908/185/153/1907/154/3778/1508/5732/5567/22802/4881/9635/810",19
