"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC00341",221.278071568182,1.46962472080473,0.197219323736307,7.45172781734968,9.21256388050407e-14,1.89081812750056e-11
"AUNIP",153.708006382806,-2.50083490556449,0.336505455298376,-7.4317811678477,1.07144957760014e-13,2.17052029041504e-11
"ENSG00000229645.4",220.997354628296,1.46858793334448,0.197592471053459,7.43240835804493,1.06637981484304e-13,2.17052029041504e-11
"ZNF670-ZNF695",58.0532289677554,-2.17761113560861,0.293237550837392,-7.42609917928336,1.11847145501834e-13,2.25115832143272e-11
"ELFN1",69.9977646197216,-1.82637961042336,0.246000990242181,-7.42427747394567,1.13397214534051e-13,2.26772621911461e-11
"SLC7A11-AS1",137.185933028694,-2.43315965203617,0.327881727991577,-7.42084551932907,1.16374990444e-13,2.31245259673979e-11
"PRKG2",139.076789648062,2.86523699535915,0.386156978004423,7.41987626422312,1.1722980268346e-13,2.31469503437715e-11
"CFD",3102.91179704186,2.88914044172623,0.389778953246297,7.412253580302,1.24171036585026e-13,2.43632945178809e-11
"KRT24",47.4975960663194,5.09804125116166,0.687937431788294,7.41061761664763,1.2571257206385e-13,2.45115944417245e-11
"C9orf117",77.4013791508346,-1.4862001665277,0.200728947887775,-7.40401512670021,1.32127363807552e-13,2.56023439049951e-11
"SLIT3",1082.89462007437,2.25072415807676,0.304796054013497,7.38436120953549,1.53187054194948e-13,2.94998551217271e-11
"CNTD2",70.7942073999357,-3.88297566691179,0.526123822819973,-7.38034564962182,1.57879112797691e-13,3.02168998892611e-11
"THY1",2229.8867033083,-2.06581755905395,0.280148151801154,-7.37401816064894,1.65560621105586e-13,3.14938701014083e-11
"PAQR4",1066.5432609483,-1.86158923966303,0.252727238301258,-7.36600159197706,1.75821722912072e-13,3.32430926647751e-11
"CITED2",1653.98830819894,1.29792052385786,0.176647065092844,7.34753517232614,2.01895180483333e-13,3.79429153345695e-11
"RHPN1",508.888266322857,-2.22975872390195,0.304304955539538,-7.32738223059348,2.34691749776611e-13,4.38423863340176e-11
"ENSG00000236841.2",144.34314941324,-3.84624456837724,0.527049117010749,-7.29769663630572,2.92735733190031e-13,5.43599801686274e-11
"LZTS3",963.465148183329,-2.08135223150598,0.285798765443005,-7.28257950407787,3.27496813774621e-13,6.04551366824075e-11
"ENSG00000196756.7",1026.16955248949,-2.09497324018221,0.287864406640387,-7.27763902676354,3.39712845170424e-13,6.23413037104806e-11
"WISP2",129.981551522647,3.67684376688605,0.505828234902779,7.26895715418643,3.62273274160235e-13,6.60926276840751e-11
"NOTUM",142.088799063001,-5.48724671719038,0.755761912895187,-7.26054941849309,3.85521162508032e-13,6.9925021550948e-11
"COL5A2",9410.08330818285,-2.4340695002381,0.335914555316189,-7.24609714499262,4.28952502541265e-13,7.69082254125278e-11
"NXT1",589.872088870219,-1.59554830298557,0.220182304217355,-7.2464874443793,4.27718808561804e-13,7.69082254125278e-11
"ATP11A",1856.06205353893,-1.53122082605965,0.211716904622053,-7.23239756784234,4.74540549218736e-13,8.45956657941538e-11
"C6orf223",375.229472861808,-3.57406618532544,0.495736159274556,-7.20961365932155,5.6110845697956e-13,9.94596621158599e-11
"B3GALT6",1021.93971224083,-1.17978120025458,0.163740983772077,-7.20516741182404,5.79725790258584e-13,1.01868626824944e-10
"ENSG00000272114.1",378.268076663325,-1.78260244004037,0.247418230470762,-7.20481444171925,5.81229463565086e-13,1.01868626824944e-10
"RIPK2",506.715096776628,-1.71837918155866,0.238813498965319,-7.19548597128591,6.22386860413791e-13,1.0787001602405e-10
"ZMYND19",513.888537067227,-1.3490884175409,0.187687053042147,-7.18796739398938,6.57629609866116e-13,1.13348458226482e-10
"SPP1",3953.52002893425,-5.19357565730003,0.722732325240736,-7.18602928901802,6.67027411445447e-13,1.14336561290459e-10
"MMP14",8806.31273933804,-1.83672748653456,0.255701405630325,-7.18309499318893,6.81507128487155e-13,1.16180207035048e-10
"PKHD1L1",273.024002284452,2.75808865210808,0.384065457332533,7.18129839445589,6.90524538698259e-13,1.17077684966139e-10
"RUVBL1",1063.72073080471,-1.33679732499501,0.186374966076381,-7.17262276762619,7.35743845973816e-13,1.24070274393758e-10
"CXCL5",3488.26171134647,-6.36095720167749,0.888776902595385,-7.15697852082156,8.24746135238851e-13,1.38331210650787e-10
"GLP2R",116.124314026428,2.67742703020508,0.374542751843213,7.14852180967015,8.7717315559852e-13,1.46337812487738e-10
"LILRB5",296.475112862223,1.65496980904423,0.231576427735946,7.14653829504314,8.89935709216531e-13,1.47677257023554e-10
"CXCL10",433.640643686725,-2.451708484369,0.343146014358094,-7.14479662238038,9.01292323463441e-13,1.48770458280894e-10
"MMP12",1425.5800598345,-2.77624531013832,0.388989842909732,-7.13706375819835,9.53456273829975e-13,1.56552501971967e-10
"ADIPOQ-AS1",214.748199822701,5.40188391648422,0.757095722324507,7.13500784273202,9.67816413844771e-13,1.57172144882714e-10
"ENSG00000110347.7",1426.12481071986,-2.77516418239926,0.388985406536862,-7.13436580335121,9.72344262665119e-13,1.57172144882714e-10
"ENSG00000226482.1",214.748199822701,5.40188391648422,0.757095722324507,7.13500784273202,9.67816413844771e-13,1.57172144882714e-10
"GFRA2",150.486939695492,2.11218015107177,0.296310715397228,7.12826111684901,1.01644815763697e-12,1.63454294710313e-10
"PPP2R3A",1014.78577764216,1.47881107704373,0.20757299482998,7.12429417061217,1.04615396221626e-12,1.66514618159493e-10
"UBE2S",1262.42672481709,-2.03670367167966,0.28586431460993,-7.12472165145482,1.04291232715569e-12,1.66514618159493e-10
"HILPDA",487.318096917736,-2.1571822609544,0.303217790313418,-7.11429978671321,1.12482421719453e-12,1.78127619816334e-10
"GNRH1",127.770436215786,1.09637858737897,0.154147407620497,7.11253341397866,1.13931940165153e-12,1.79511855420822e-10
"RXRG",37.6899598127199,2.55561169032614,0.360484311781141,7.08938393934245,1.34710319766657e-12,2.11183811344744e-10
"PODNL1",117.121281157747,-1.76668967587485,0.249714609220153,-7.07483507429597,1.49626605502511e-12,2.33395060593092e-10
"VEGFA",5144.65101133391,-1.57686465463184,0.223131258839214,-7.06698229031242,1.58339149992855e-12,2.45756540414284e-10
"OSR1",147.483053945056,2.99885801456572,0.424476358529247,7.06484107844395,1.60799914344338e-12,2.48340342960411e-10
"DHRS2",50.0931833609464,-4.6945716021553,0.665922769745176,-7.04972380498678,1.79273273521555e-12,2.75012017525045e-10
"REG1B",4854.81693098692,-8.52275943931794,1.20902378559707,-7.04929013047414,1.798328415396e-12,2.75012017525045e-10
"XKR4",128.280174036046,3.16167328278771,0.448587597570502,7.04806218431131,1.81426564765711e-12,2.76095831268092e-10
"HCAR3",596.790641108934,-5.50344279302002,0.781306612130815,-7.0438963494892,1.86937226007683e-12,2.8310100193018e-10
"CKS2",747.213632163292,-2.09106442018902,0.297082291978124,-7.03867068705325,1.94082454025072e-12,2.89702886039242e-10
"LOC541471",273.589305335847,-1.88903483186878,0.268366563752593,-7.03900964954146,1.936109635539e-12,2.89702886039242e-10
"WNT5A",2014.40960233829,-2.43719535701672,0.346226058292867,-7.03931809475511,1.9318289853756e-12,2.89702886039242e-10
"MMP13",143.17399418288,-4.28000298184796,0.608337830269168,-7.03556933152458,1.9844900910285e-12,2.94810177951505e-10
"TPD52L2",3602.93054412812,-1.20325601542006,0.171071732330234,-7.03363436512888,2.01222011446359e-12,2.97512942705785e-10
"GPX3",913.40194566462,1.89183287049942,0.269104306128331,7.03010998864226,2.06370793155883e-12,3.03686303494532e-10
"ABCG2",540.215178669116,2.97469406127913,0.423184504712429,7.02930761441881,2.07560923560406e-12,3.04003668183756e-10
"AGTRAP",632.950546399941,-1.31968696736766,0.187802079991956,-7.02700932505213,2.11007270032127e-12,3.07607187065059e-10
"RERGL",77.5201113207463,4.62439113098198,0.658449730968328,7.02314985258064,2.16921335986236e-12,3.14757903198261e-10
"ENSG00000232445.1",65.4380610579429,-3.25543835612567,0.463918395203711,-7.0172650832183,2.26253112840854e-12,3.26778627837784e-10
"ECT2",2330.0278620247,-2.24640645584195,0.320388685513991,-7.01150370600042,2.3577024599154e-12,3.38955039824796e-10
"CDC14A",651.594267161827,1.07334404691836,0.153110131146888,7.01027449247385,2.37851018611204e-12,3.40377900349254e-10
"STMN4",12.6499781375797,3.41183412755133,0.486832713378822,7.00822692023256,2.4135713914277e-12,3.43818204102146e-10
"PDCD4",6038.00481594501,1.36903800162684,0.195403989597283,7.00619268034575,2.44890609883011e-12,3.47266016205468e-10
"C2orf88",1780.8693890022,1.93343161622875,0.276100255943274,7.00264333194237,2.51177698686703e-12,3.54569713390456e-10
"PHLDA1",3602.19255648744,-2.11981511317701,0.303341088316896,-6.98822281194716,2.78390030343194e-12,3.91213233180928e-10
"SLC3A2",3794.22797309675,-1.33656243461795,0.191389654439397,-6.98346229075393,2.87992774319338e-12,4.02892851140824e-10
