"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000271216.1",5.13271378807265,-4.00047648483131,0.816238485097137,-4.90111230709152,9.52955566787984e-07,2.02654088732684e-05
"ENSG00000251320.1",1.81782849040757,-3.98492901376431,1.3954597073536,-2.85563889287888,0.00429503322459847,0.0195238454768758
"CPNE7",294.682199096683,-3.98104072024591,0.484018712255746,-8.22497275300054,1.95235234392712e-16,7.7743905064481e-14
"LGALS7B",5.78584464653396,-3.97382560827401,1.00727233888039,-3.94513524782286,7.97549502060141e-05,0.000779279817998164
"ENSG00000224269.1",9.9653906193292,-3.96965228102088,0.789684818404216,-5.02688185020791,4.98519278997676e-07,1.18719892724355e-05
"ENSG00000259664.1",19.9185626488321,-3.96801476046008,1.14455161754895,-3.46687270335396,0.000526551190762018,0.003628632095914
"ENSG00000224271.1",36.4964897962795,-3.96295140727604,0.937226244091659,-4.22838288221096,2.3537698703163e-05,0.00028522368947424
"ENSG00000237713.1",7.54409507035262,-3.96150489507061,1.02683419372774,-3.85797913554968,0.000114328404888585,0.00104564739000562
"PRSS22",326.272690719849,-3.9591548472288,0.46175393578948,-8.57416589305225,9.98074779783711e-18,4.86514670389257e-15
"SERPINE1",1794.5763833227,-3.95270765017732,0.604005354245761,-6.54415995221297,5.98307344215956e-11,5.62210669201963e-09
"MIR711",8.28167377458236,-3.94440808299967,0.679512674316809,-5.80476013485021,6.44582136323096e-09,3.13713399483177e-07
"ENSG00000254560.1",35.0784999812042,-3.9368756183355,0.605804841255672,-6.49858725158981,8.10777676588915e-11,7.2062197084172e-09
"IBSP",11.3033283138372,-3.91985709920973,0.914007121533443,-4.28865050048333,1.79761975323479e-05,0.000228054572000761
"TESC",701.014859889431,-3.91438879255315,0.418870994535997,-9.34509393969689,9.18079382531357e-21,7.34392884534121e-18
"MAGEA11",31.9622963987871,-3.91259025037847,1.10003308001949,-3.55679326507996,0.000375409353673656,0.00275503307611316
"COMP",72.164483489136,-3.89896327366778,0.697179190179369,-5.59248372382523,2.23844143677604e-08,8.95290480809e-07
