"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000254645.1",93.5125136677995,2.72753771647676,0.633525135762391,4.30533464657943,1.66733493007766e-05,0.000214941519891044
"IGSF11",43.9593059668025,2.72652124871959,0.499281988777296,5.46088445008129,4.73768345172013e-08,1.67196279008272e-06
"BMP3",1113.94959479271,2.72587884707796,0.517692542950147,5.26543965950165,1.39854250418249e-07,4.11995566600388e-06
"GRIK3",275.690185202193,2.72500463775315,0.365328893057744,7.45904495794269,8.71518690527006e-14,1.81258457255807e-11
"ENSG00000239268.2",31.9092116233012,2.72106801515919,0.440669836226047,6.17484518219528,6.62283354219534e-10,4.27769229846517e-08
"ENSG00000261672.1",3.5694097978803,2.71169228054744,0.987791305659101,2.74520768203975,0.00604726147566526,0.0255874699927206
"ENSG00000263335.1",2209.45878136019,2.70717293443076,0.710559205051071,3.80991888527598,0.000139012392910451,0.00121853599933334
"ENSG00000260823.1",20.1317976992102,2.70651047428694,0.704764501283309,3.84030476756227,0.000122881663344653,0.00110707762023454
"ENSG00000253549.1",543.650470971118,2.70500174835491,0.496578371404098,5.44728063911925,5.11457324412564e-08,1.7807962220646e-06
"AQP4-AS1",3.21632462798686,2.70267860534214,0.644567416506122,4.19301152390236,2.75275453586393e-05,0.00032370027612268
"ACTG2",10967.1671162709,2.6913131366026,0.768670359911829,3.50125785637332,0.000463067565247314,0.00326987750860581
"CA2",11742.4659508489,2.6849854362955,0.588053714025302,4.56588466709347,4.97392193665509e-06,7.96159274796453e-05
"MMP27",3.33944054331839,2.68235368791848,0.669533261990125,4.00630385403921,6.16762974236801e-05,0.000633766617498863
"GLP2R",116.124314026428,2.67742703020508,0.374542751843213,7.14852180967015,8.7717315559852e-13,1.46337812487738e-10
"MIR4451",2.21788269612853,2.67601859371543,0.950590624717131,2.81511149398484,0.00487603139162798,0.0215311466843055
"ENSG00000250961.1",4.449762884233,2.67349596946546,0.620016098205913,4.31197831346883,1.61800306923339e-05,0.0002096214358425
"ENSG00000260760.1",6.19148437773922,2.66935325125954,0.822757344338966,3.244399177505,0.00117698676252877,0.00693586249161507
"ENSG00000239205.1",98.2372538318378,2.65983574311837,0.591019503745577,4.50041957373944,6.78194618798756e-06,0.000102906797289226
"AGTR1",100.001146054508,2.64345253051949,0.592959892529927,4.45806295471506,8.27036150794568e-06,0.000121302523725144
"CIDEC",107.759514084144,2.64129293330943,0.538568658642943,4.90428265908533,9.37693809612596e-07,2.00501945020454e-05
"ENSG00000231943.3",5.20892067832419,2.63752641920141,0.589861431589858,4.47143392998668,7.76968647627366e-06,0.000115111523347831
"VSTM2A",99.1795295677459,2.63622918488847,0.443820775159995,5.9398507966152,2.85281599095829e-09,1.53978028494682e-07
"HS3ST6",10.1811207707436,2.62684703533663,0.572499055882193,4.5883866677977,4.46684698612841e-06,7.30740563325895e-05
"SYNPO2",20786.3832057008,2.62478952098275,0.725531782671237,3.61774574687671,0.000297180115875934,0.00227624062729721
"ENSG00000234638.1",1559.75279632416,2.61905995748072,0.904298984358576,2.89623233331223,0.00377672674926405,0.0176097731218187
"MGAT4C",13.5573845139561,2.61415864387368,0.644925039922196,4.05343021599697,5.04720604796408e-05,0.000535206278308414
"UG0898H09",62.08123923016,2.61287209521617,0.387234821325021,6.74751326927566,1.50400486863468e-11,1.70619781406532e-09
"KIAA2022",212.162741237888,2.61203182653595,0.424210847141592,6.15739046782109,7.39533565867311e-10,4.679762404536e-08
"SLC26A3",20378.7374602222,2.61117627658075,0.608753071233722,4.2893849739252,1.79168576531458e-05,0.000227401223842632
"LDB3",231.528946057482,2.61100343942411,0.532716168003554,4.90130316338867,9.52030078587826e-07,2.0259537763782e-05
"SPINK2",54.7015406247504,2.60563719962231,0.616791379356193,4.22450327101211,2.39468373886425e-05,0.000288889979123542
"PYGM",165.591978708372,2.60373044498413,0.469731047242769,5.54302395012534,2.97292180012326e-08,1.1214781305737e-06
"SLC28A2",640.172465713318,2.60214683734516,0.749831817733793,3.47030730865702,0.000519863202985848,0.0035882473995179
"CNTFR",57.0043440486844,2.60130156975412,0.434676770456171,5.98445039293034,2.17121748103609e-09,1.21607669220616e-07
"NOS1",109.391242170828,2.59363029931754,0.524756246642488,4.94254297287967,7.71101014690055e-07,1.71130325367942e-05
"SLC51A",284.096418596569,2.59297541375334,0.647932498266027,4.00192214573674,6.28299743465599e-05,0.0006432906825368
"ENSG00000253701.1",218.525265529735,2.59177609913377,0.567523577340708,4.5668166092381,4.95186876776117e-06,7.93851233031064e-05
"LIFR",1745.61622528458,2.59016526009025,0.341755387455092,7.57900344857214,3.4821925555068e-14,7.63962530710123e-12
"NEFL",91.1122426478775,2.58916925659171,0.551883326738144,4.69151563591304,2.7118854200579e-06,4.85664118539301e-05
"ZBTB16",375.877422277533,2.58571335833524,0.444909802950311,5.81176980410121,6.18158050115549e-09,3.03218186941113e-07
"ENSG00000266176.1",3.59268339074865,2.58334488396128,0.763037676616059,3.38560593156812,0.000710212918550419,0.00461420629794839
"MAPK4",85.4589468183084,2.58103950357849,0.627526754122931,4.11303500069237,3.90491153892546e-05,0.000433991896258844
"PRPH",148.629485854738,2.57695172374546,0.566272109828698,4.55073043333356,5.34600031880378e-06,8.46165255939734e-05
"KCNK3",111.665556541335,2.57592303278751,0.492366729321952,5.23171627850416,1.67943385469614e-07,4.83779297922028e-06
"ENSG00000226667.2",2.34909271340977,2.5715347818093,0.89793322491246,2.86383743296725,0.00418542757179574,0.0191225085197178
"PDK4",2576.16567682733,2.56941394909152,0.374997587283551,6.85181461487292,7.29190167836105e-12,9.1964856532217e-10
"GABRG1",7.93051921648746,2.56558182671403,0.576633791751326,4.44923947124564,8.61748912443773e-06,0.000125391701592856
"ADRA1A",60.4926759083634,2.55769220824682,0.383819300977856,6.66379257564847,2.66850020855797e-11,2.81336106069939e-09
"RXRG",37.6899598127199,2.55561169032614,0.360484311781141,7.08938393934245,1.34710319766657e-12,2.11183811344744e-10
"SLC4A4",6536.53307758232,2.55555740856694,0.520627158498458,4.90861332692945,9.17226211654317e-07,1.96935348416929e-05
"ZG16",10956.5983216976,2.55257172314748,0.811940818629901,3.14379036572491,0.00166774866668388,0.00919398394672855
"NGB",28.2532466987031,2.54506031754477,0.544760854547057,4.67188546368822,2.98447377590471e-06,5.22777250909035e-05
"ENSG00000255794.2",28.9595476981162,2.53741526050199,0.669286504406019,3.79122430199591,0.000149906492165608,0.00128903881920906
"PTPRZ1",139.928324289782,2.5371300296328,0.526078095536957,4.82272508807501,1.41610084735305e-06,2.8373858789257e-05
"SLC25A34",255.414870420055,2.53210608650679,0.299813460935394,8.44560507259022,3.02474635784389e-17,1.36757988587907e-14
"ENSG00000243319.3",19.4305998263909,2.52897042311441,0.386198243370703,6.54837370838817,5.81670158596765e-11,5.53242802979978e-09
"ENSG00000104725.9",92.1734708911034,2.52872197140325,0.552668374181382,4.57547797112296,4.75133962416484e-06,7.68815053190201e-05
"LINC00595",5.51080877194668,2.52246501804266,0.520575320055273,4.84553324151984,1.26272066540169e-06,2.57135095290709e-05
"ENSG00000259520.1",65.0455307085049,2.51873365002351,0.671349139206974,3.75174928055876,0.000175605030662859,0.00147227899532094
"RSPO2",177.117989971387,2.51757090092581,0.435105346708608,5.78611805157116,7.20316017734382e-09,3.45187385641467e-07
